name,disease,part used,how to use for vatta,how to use for pitta,how to use for kapha,gunna,synonyms,image
Ahiphena,Cough,Exudate,Take with warm milk or ghee to calm dryness.,Take with ghee and sugar candy to reduce heat.,Take with honey to clear phlegm.,"Light, Dry",Opium,Opium.jpg
Agnimantha,Arthritis,Root,Decoction with warm water and oil.,Use with ghee in mild dose.,Use with honey to reduce heaviness.,"Dry, Light",Jaya,Jaya.jpg
Agaru,Asthma,Heartwood,Take with warm ghee or milk.,Use in small dose with milk.,Take with honey to stimulate lungs.,"Light, Sharp",Agar,Agar.jpg
Amalaki,Diabetes,Fruit,Take with warm water or ghee.,Take with cool water or ghee.,Take with honey to reduce Kapha.,"Heavy, Cold",Amla,Amla.jpg
Apamarga,Skin disease,Whole plant,Use paste with sesame oil.,Use decoction with ghee.,Use powder with honey.,"Light, Sharp",Chirchida,Chirchida.jpg
Aragvadha,Constipation,Pulp,Take with warm milk.,Take with cool water.,Take with ginger decoction.,"Heavy, Oily",Amaltas,Amaltas.jpg
Ardraka,Indigestion,Rhizome,Take juice with warm water.,Use small amount with ghee.,Take with honey and lemon.,"Heavy, Sharp",Fresh_Ginger,Fresh_Ginger.jpg
Arjuna,Heart disease,Bark,Milk decoction (Ksheerapaka).,Take with ghee or cool water.,Take with honey or warm water.,"Light, Dry",Kakubha,Kakubha.jpg
Arka,Skin disease,Leaf/latex,External use with oil.,External paste with cooling agents.,External use only.,"Light, Sharp",Madar,Madar.jpg
Ashwagandha,Stress,Root,Take with warm milk and ghee.,Take with cool milk.,Take with honey or warm water.,"Light, Oily",Winter_Cherry,Winter_Cherry.jpg
Ashvagol,Constipation,Husk,Take with warm milk.,Take with cool water.,Avoid excess; use with ginger.,"Heavy, Oily",Isabgol,Isabgol.jpg
Ashoka,Menstrual disorders,Bark,Decoction with warm water.,Take with cool water.,Use with honey cautiously.,"Light, Dry",Hemapushpa,Hemapushpa.jpg
Ativisha,Diarrhea,Root,Take powder with honey.,Take with cool water.,Avoid excess; use with ginger.,"Light, Dry",Bhangura,Bhangura.jpg
Bakuchi,Skin disorders,Seed,External oil with sesame oil.,Use cautiously with ghee.,Use internally with honey.,"Light, Dry",Kushthaghni,Kushthaghni.jpg
Bala,Weakness,Root,Milk decoction.,Take with ghee.,Avoid excess; use warm water.,"Light, Oily",Khareti,Khareti.jpg
Atibala,Weakness,Root,Milk decoction.,Take with ghee.,Use lightly with honey.,"Light, Slimy",Kankatika,Kankatika.jpg
Bharangi,Asthma,Root,Decoction with warm water.,Use with ghee.,Take with honey.,"Light, Dry",Padma,Padma.jpg
Bhallataka,Arthritis,Fruit,Only processed; with ghee.,Use very cautiously.,Take with honey under supervision.,"Light, Sharp",Marking_Nut,Marking_Nut.jpg
Bibhitaka,Cough,Fruit,Take with ghee.,Use cautiously with honey.,Take with warm water.,"Light, Dry",Baheda,Baheda.jpg
Bijak,Diabetes,Heartwood,Decoction with warm water.,Use with ghee.,Use with honey.,"Light, Dry",Vijayasar,Vijayasar.jpg
