plant_name,disease,how_to_use,local_name,season,image
Neem,Diabetes,Neem leaf juice taken daily in morning,Azadirachta indica,Perennial,neem.jpg
Jamun,Diabetes,Jamun seed powder taken with warm water,Syzygium cumini,Summer,jamun.jpg
Bitter Gourd,Diabetes,Drink fresh karela juice on empty stomach,Momordica charantia,Summer/Monsoon,bitter_gourd.jpg
Tulsi,Cold,Tulsi leaf tea taken twice daily,Holy Basil,Perennial,tulsi.jpg
Ginger,Cold,Ginger tea with honey reduces cold symptoms,Adrak,Winter,ginger.jpg
Peppermint,Cold,Peppermint steam inhalation clears nasal blockage,Pudina,Summer,peppermint.jpg
Aloe Vera,Skin Burns,Apply fresh aloe vera gel directly,Ghritkumari,Perennial,aloe_vera.jpg
Turmeric,Skin Burns,Apply turmeric paste mixed with coconut oil,Haldi,Winter,turmeric.jpg
Clove,Toothache,Place clove oil on affected tooth,Laung,Winter,clove.jpg
Garlic,Toothache,Crushed garlic applied on tooth reduces pain,Lahsun,Winter,garlic.jpg
Ashwagandha,Stress,Ashwagandha powder taken with milk at night,Withania somnifera,Winter,ashwagandha.jpg
Brahmi,Stress,Brahmi juice improves mental calmness,Bacopa monnieri,Monsoon/Perennial,brahmi.jpg
Arjuna,Heart Disease,Arjuna bark powder strengthens heart muscles,Terminalia arjuna,Perennial,arjuna.jpg
Vasaka,Cough,Boil leaves in water and drink the decoction,Adhatoda vasica,Perennial,vasaka.jpg
Babul,Bleeding Gums,Gargle with bark decoction daily,Acacia arabica,Perennial,babul.jpg
Coriander,Indigestion,Drink coriander seed powder with warm water,Dhania,Winter,coriander.jpg
Kalmegh,Diarrhea,Take fresh leaf juice once daily,Andrographis paniculata,Monsoon/Autumn,kalmegh.jpg
Punarnava,Kidney Health,Root decoction for urinary health,Boerhavia diffusa,Monsoon,punarnava.jpg
Shatavari,Vitality,Root powder with milk,Asparagus racemosus,Autumn/Winter,shatavari.jpg
Amla,Vitamin C,Consume fresh fruit or juice,Emblica officinalis,Winter,amla.jpg
Giloy,Immunity,Stem decoction taken daily,Tinospora cordifolia,Perennial,giloy.jpg
Bael,Digestion,Consume fruit pulp or sharbat,Aegle marmelos,Summer,bael.jpg
Ashok,Women's Health,Bark decoction,Saraca asoca,Spring,ashok.jpg
Guggulu,Joint Pain,Resin extract capsules or powder,Commiphora mukul,Winter,guggulu.jpg
Haritaki,Constipation,Powder with warm water at night,Terminalia chebula,Winter,haritaki.jpg
Baheda,Cough/Cold,Fruit rind powder with honey,Terminalia bellirica,Winter,baheda.jpg
Mulethi,Sore Throat,Chew on the root or take tea,Glycyrrhiza glabra,Autumn/Winter,mulethi.jpg
Pippali,Respiratory,Fruit powder with honey,Piper longum,Monsoon/Autumn,pippali.jpg
Shalaparni,Heart Health,Root decoction with milk,Desmodium gangeticum,Monsoon,shalaparni.jpg
Agastya,Night blindness,Consume leaves/flowers as veg,Sesbania grandiflora,Winter,agastya.jpg
Bakula,Loose teeth,Gargle with bark decoction,Mimusops elengi,Summer,bakula.jpg
Chirabilva,Nausea,Bark powder with honey,Holoptelea integrifolia,Summer,chirabilva.jpg
Dhataki,Healing,Flower powder with honey,Woodfordia fruticosa,Summer,dhataki.jpg
