plant_name,disease,how_to_use,local_name,image,season
Neem,Diabetes,Neem leaf juice taken daily in morning,Azadirachta indica,neem.jpg,Perennial
Jamun,Diabetes,Jamun seed powder taken with warm water,Syzygium cumini,jamun.jpg,Summer
Bitter Gourd,Diabetes,Drink fresh karela juice on empty stomach,Momordica charantia,bitter_gourd.jpg,Summer/Monsoon
Tulsi,Cold,Tulsi leaf tea taken twice daily,Holy Basil,tulsi.jpg,Perennial
Ginger,Cold,Ginger tea with honey reduces cold symptoms,Adrak,ginger.jpg,Winter
Peppermint,Cold,Peppermint steam inhalation clears nasal blockage,Pudina,peppermint.jpg,Summer
Aloe_Vera,Skin Burns,Apply fresh aloe vera gel directly,Ghritkumari,aloe_vera.jpg,Perennial
Turmeric,Skin Burns,Apply turmeric paste mixed with coconut oil,Haldi,turmeric.jpg,Winter
Clove,Toothache,Place clove oil on affected tooth,Laung,clove.jpg,Winter
Garlic,Toothache,Crushed garlic applied on tooth reduces pain,Lahsun,garlic.jpg,Winter
Ashwagandha,Stress,Ashwagandha powder taken with milk at night,Withania somnifera,ashwagandha.jpg,Winter
Brahmi,Stress,Brahmi juice improves mental calmness,Bacopa monnieri,brahmi.jpg,Monsoon/Perennial
Arjuna,Heart Disease,Arjuna bark powder strengthens heart muscles,Terminalia arjuna,arjuna.jpg,Perennial
Garlic,Heart Disease,Garlic improves blood circulation,Allium sativum,garlic2.jpg,Perennial
Vasaka,Cough,Boil leaves in water and drink the decoction,Adhatoda vasica,vasaka.jpg,Perennial
Babul,Bleeding Gums,Gargle with bark decoction daily,Acacia arabica,babul.jpg,Winter
Coriander,Indigestion,Drink coriander seed powder with warm water,Dhania,coriander.jpg,Monsoon/Autumn
Kalmegh,Diarrhea,Take fresh leaf juice once daily,Andrographis paniculata,kalmegh.jpg,Monsoon
Punarnava,Kidney Health,Whole plant juice taken twice daily,Boerhaavia diffusa,punarnava.jpg,Autumn/Winter
Shatavari,Lactation,Take root powder with milk at night,Asparagus racemosus,shatavari.jpg,Winter
Bael,Dysentery,Eat dry fruit pulp with water,Aegle marmelos,bael.jpg,Perennial
Chitrak,Arthritis,Apply root paste on joints for pain relief,Plumbago zeylanica,chitrak.jpg,Summer
Mandukparni,Memory Loss,Drink fresh leaf juice in the morning,Centella asiatica,mandukparni.jpg,Spring
Palasha,Worms,Take seed powder with honey,Butea monosperma,palasha.jpg,Winter
Amaltas,Constipation,Eat fruit pulp as a mild laxative,Cassia fistula,amaltas.jpg,Winter
Ashok,Menstrual Disorders,Bark decoction taken during periods,Saraca indica,ashok.jpg,Winter
Guggulu,Heart Disease,Resin powder taken with warm water,Commiphora mukul,guggulu.jpg,Autumn/Winter
Senna,Constipation,Leaf powder taken with warm water at night,Cassia angustifolia,senna.jpg,Monsoon/Autumn
Amla,Acidity,Fresh fruit juice taken daily morning,Emblica officinalis,amla.jpg,Monsoon
Giloy,Fever,Boil stem pieces in water and drink,Tinospora cordifolia,giloy.jpg,Winter
Ajwain,Stomach Ache,Chew seeds with a pinch of salt and water,Trachyspermum ammi,ajwain.jpg,Summer
